namn,parti,valkrets,fodd
Sanna Backeskog,S,Gävleborgs län,1985
Sanne Lennström,S,Uppsala län,1988
Serkan Köse,S,Stockholms län,1976
Sofia Amloh,S,Södermanlands län,1986
Sofia Skönnbrink,S,Värmlands län,1991
Sofie Eriksson,S,Dalarnas län,1992
Teresa Carvalho,S,Östergötlands län,1984
Tomas Eneroth,S,Kronobergs län,1966
Tomas Kronståhl,S,Kalmar län,1967
Yasmine Bladelius,S,Skåne läns västra,1988
Zara Leghissa,S,Norrbottens län,1970
Åsa Eriksson,S,Västmanlands län,1972
Åsa Karlsson,S,Västerbottens län,1973
Åsa Westlund,S,Stockholms län,1976
Adam Marttinen,SD,Södermanlands län,1983
Alexander Christiansson,SD,Västra Götalands läns västra,1981
Anders Alftberg,SD,Västra Götalands läns södra,1973
Angelica Lundberg,SD,Västmanlands län,1981
Angelika Bengtsson,SD,Stockholms kommun,1990
Ann-Christine Frohm,SD,Blekinge län,1972
Anna-Lena Hedberg,SD,Dalarnas län,1973
Aron Emilsson,SD,Östergötlands län,1990
Beatrice Timgren,SD,Stockholms län,1989
Björn Söder,SD,Skåne läns norra och östra,1976
Björn Tidland,SD,Göteborgs kommun,1963
Bo Broman,SD,Skåne läns västra,1969
Carina Ståhl Herrstedt,SD,Skåne läns västra,1971
Carita Boulwén,SD,Hallands län,1967
Charlotte Quensel,SD,Värmlands län,1961
Chris Dahlqvist,SD,Östergötlands län,1995
Christian Lindefjärd,SD,Stockholms län,1976
Clara Aranda,SD,Östergötlands län,1988
Daniel Persson,SD,Gävleborgs län,1982
Daniel Spiik,SD,Örebro län,1977
David Lång,SD,Västernorrlands län,1972
David Perez,SD,Uppsala län,1990
Dennis Dioukarev,SD,Göteborgs kommun,1993
Eric Palmqvist,SD,Norrbottens län,1970
Eric Westroth,SD,Jönköpings län,1971
Erik Hellsborn,SD,Hallands län,1984
Fredrik Lindahl,SD,Stockholms län,1987
Gabriel Kroon,SD,Stockholms kommun,1996
Göran Hargestam,SD,Östergötlands län,1966
Henrik Vinge,SD,Stockholms kommun,1988
Jessica Stegrud,SD,Skåne läns södra,1970
Jimmie Åkesson,SD,Jönköpings län,1979
Jimmy Ståhl,SD,Göteborgs kommun,1975
Johnny Svedin,SD,Norrbottens län,1969
Jonas Andersson,SD,Östergötlands län,1989
Josef Fransson,SD,Jämtlands län,1978
Julia Kronlid,SD,Stockholms län,1980
Jörgen Grubb,SD,Västra Götalands läns östra,1962
Kent Kumpula,SD,Uppsala län,1975
Lars Andersson,SD,Skåne läns södra,1964
Lars Wistedt,SD,Uppsala län,1964
Leonid Yurkovskiy,SD,Stockholms län,1995
Linda Lindberg,SD,Skåne läns västra,1974
Ludvig Aspling,SD,Stockholms län,1983
Magnus Persson,SD,Skåne läns norra och östra,1970
Markus Wiechel,SD,Västra Götalands läns norra,1988
Martin Kinnunen,SD,Stockholms län,1983
Martin Westmont,SD,Stockholms kommun,1978
Matheus Enholm,SD,Västra Götalands läns norra,1979
Mats Arkhem,SD,Stockholms län,1966
Mats Hellhoff,SD,Västernorrlands län,1954
Mats Nordberg,SD,Dalarnas län,1958
Mattias Bäckström Johansson,SD,Kalmar län,1985
Mattias Eriksson Falk,SD,Södermanlands län,1990
Mattias Karlsson,SD,Kronobergs län,1977
Michael Rubbestad,SD,Örebro län,1980
Mikael Eskilandersson,SD,Skåne läns norra och östra,1977
Mona Olin,SD,Kalmar län,1967
Msciwoj Swigon,SD,Stockholms län,1979
Nima Gholam Ali Pour,SD,Malmö kommun,1981
Oscar Sjöstedt,SD,Västmanlands län,1981
Patrick Reslow,SD,Malmö kommun,1970
Patrik Jönsson,SD,Västra Götalands läns södra,1972
Per Söderlund,SD,Örebro län,1972
Pia Trollehjelm,SD,Skåne läns västra,1967
Pontus Andersson Garpvall,SD,Västerbottens län,1992
Rashid Farivar,SD,Västra Götalands läns västra,1982
Rasmus Giertz,SD,Dalarnas län,1994
Richard Jomshof,SD,Blekinge län,1969
Robert Stenkvist,SD,Stockholms län,1958
Roger Hedlund,SD,Gävleborgs län,1979
Runar Filper,SD,Värmlands län,1964
Sara Gille,SD,Dalarnas län,1981
Staffan Eklöf,SD,Jönköpings län,1965
Sven-Olof Sällström,SD,Östergötlands län,1968
Thomas Morell,SD,Skåne läns norra och östra,1957
Tobias Andersson,SD,Västra Götalands läns östra,1996
Ulf Lindholm,SD,Västernorrlands län,1963
Victoria Tiblom,SD,Skåne läns södra,1969
Yasmine Eriksson,SD,Västra Götalands läns västra,1989
Ali Esbati,V,Stockholms kommun,1976
Andrea Andersson Tay,V,Stockholms län,1988
Andreas Lennkvist Manriquez,V,Stockholms kommun,1994
Birger Lahti,V,Norrbottens län,1964
Ciczie Weidby,V,Jönköpings län,1974
Gudrun Nordborg,V,Västerbottens län,1946
Hanna Gunnarsson,V,Skåne läns södra,1983
Håkan Svenneling,V,Värmlands län,1985
Ida Gabrielsson,V,Stockholms kommun,1981
Ilona Szatmári Waldau,V,Uppsala län,1962
Isabell Mixter,V,Västernorrlands län,1989
Jessica Wetterling,V,Västra Götalands läns västra,1986
Kajsa Fredholm,V,Dalarnas län,1961
Karin Rågsjö,V,Stockholms kommun,1955
Linda W Snecker,V,Östergötlands län,1983
Lotta Johnsson Fornarve,V,Södermanlands län,1956
Maj Karlsson,V,Göteborgs kommun,1980
Malin Östh,V,Östergötlands län,1972
Nadja Awad,V,Örebro län,1991
Nooshi Dadgostar,V,Stockholms län,1985
Samuel Gonzalez Westling,V,Gävleborgs län,1983
Tony Haddou,V,Göteborgs kommun,1989
Vasiliki Tsouplaki,V,Västmanlands län,1980
