institut,uppdragsgivare,datum,Ap,H,FrP,SV,Sp,KrF,V,MDG,R,Andra,kalla
Sentio,DN,2012-06-16,32.1,30.1,17.5,5.3,4.1,3.7,4.4,0.0,0.9,1.8,pollofpolls.no
Respons Analyse,Aftenp. / BT,2012-06-15,30.0,35.1,11.7,3.6,4.7,5.2,5.5,0.0,1.9,2.3,pollofpolls.no
Norfakta,Nat. / KK,2012-06-11,27.8,32.9,18.9,3.5,4.0,4.2,5.4,0.0,1.7,1.6,pollofpolls.no
Norstat,NRK,2012-06-07,31.0,29.5,18.5,3.9,3.5,5.0,5.7,0.0,0.9,2.0,pollofpolls.no
Verian,TV2,2012-06-04,29.0,32.5,15.9,3.8,4.8,4.9,5.6,0.8,1.3,1.3,pollofpolls.no
Sentio,SMP,2012-05-30,31.3,30.3,17.1,4.7,5.0,3.8,4.0,0.0,1.6,1.0,pollofpolls.no
Ipsos,Dagbladet,2012-05-29,30.2,32.0,16.2,4.0,3.4,5.2,4.9,0.0,1.3,2.9,pollofpolls.no
Norstat,VL,2012-05-25,31.7,30.2,17.4,4.2,4.2,5.3,3.1,0.0,1.4,2.6,pollofpolls.no
InFact,VG,2012-05-23,31.1,35.0,11.3,3.4,4.8,4.8,5.8,0.0,1.8,1.8,pollofpolls.no
Sentio,DN,2012-05-19,30.0,32.0,13.2,5.0,5.6,4.5,5.5,0.0,1.9,2.3,pollofpolls.no
Opinion,ANB,2012-05-19,31.8,28.0,18.6,4.3,4.7,5.3,4.9,0.0,1.4,1.1,pollofpolls.no
Norfakta,Nat. / KK,2012-05-12,29.5,32.1,18.6,3.9,4.8,4.5,3.7,0.0,1.0,1.9,pollofpolls.no
Respons Analyse,Aftenp,2012-05-12,32.4,33.8,12.0,4.2,4.4,4.6,5.3,0.0,1.8,1.5,pollofpolls.no
Norstat,NRK,2012-05-04,31.4,25.7,19.0,4.1,5.2,6.0,4.2,0.0,1.4,3.0,pollofpolls.no
Verian,TV2,2012-05-03,29.0,30.0,16.3,4.4,4.0,6.7,5.6,1.6,1.5,1.1,pollofpolls.no
Sentio,SMP,2012-04-30,30.8,28.7,18.4,4.5,5.7,4.6,4.9,0.0,1.2,1.2,pollofpolls.no
Ipsos,Dagbladet,2012-04-28,31.9,27.9,18.7,6.3,4.0,4.3,4.7,0.0,1.0,1.4,pollofpolls.no
Opinion,ANB,2012-04-27,30.6,29.6,16.7,4.9,4.9,5.0,5.4,0.0,1.4,1.5,pollofpolls.no
Norstat,VL,2012-04-20,28.3,28.0,20.7,3.7,5.5,6.2,4.4,0.0,1.8,1.4,pollofpolls.no
Respons Analyse,Aftenp. / BT,2012-04-20,31.6,32.9,11.0,3.7,5.2,4.0,7.8,1.7,1.3,0.3,pollofpolls.no
Norfakta,Nat. / KK,2012-04-14,30.8,31.7,16.8,4.8,4.8,4.3,3.7,0.0,0.7,2.5,pollofpolls.no
InFact,VG,2012-04-14,29.1,31.9,13.7,4.1,5.0,5.9,5.8,0.0,2.1,2.3,pollofpolls.no
Sentio,DN,2012-04-13,32.8,24.9,19.5,3.8,6.0,6.1,4.6,0.0,1.5,0.9,pollofpolls.no
Norstat,NRK,2012-04-05,30.5,28.5,19.5,4.6,5.1,5.4,4.6,0.0,1.2,0.7,pollofpolls.no
Verian,TV2,2012-04-03,28.8,30.1,18.1,4.1,5.1,4.7,6.0,0.0,1.6,1.7,pollofpolls.no
Ipsos,Dagbladet,2012-03-31,31.3,26.6,17.5,4.8,5.9,5.4,4.6,0.0,1.0,3.0,pollofpolls.no
Sentio,SMP,2012-03-30,31.5,28.9,18.1,4.8,5.6,5.1,3.2,0.0,1.2,1.5,pollofpolls.no
Norstat,VL,2012-03-24,32.0,25.6,17.2,4.5,4.8,5.9,7.1,0.0,1.3,1.6,pollofpolls.no
Opinion,ANB,2012-03-22,33.9,30.4,17.0,3.8,5.0,3.1,5.0,0.0,1.0,0.6,pollofpolls.no
Respons Analyse,Aftenp,2012-03-20,32.1,32.5,11.0,3.9,6.3,6.0,4.3,1.0,2.0,0.9,pollofpolls.no
Sentio,DN,2012-03-16,33.1,23.1,19.7,4.7,5.0,6.5,4.6,0.0,1.7,1.5,pollofpolls.no
Norfakta,Nat. / KK,2012-03-10,32.7,28.9,16.6,4.0,5.6,5.3,3.9,0.0,1.4,1.6,pollofpolls.no
Norstat,NRK,2012-03-08,34.1,26.2,17.3,5.6,4.0,6.0,3.3,0.0,1.5,2.0,pollofpolls.no
InFact,VG,2012-03-06,31.2,30.6,13.5,4.6,5.5,5.5,5.1,0.0,1.6,2.4,pollofpolls.no
Verian,TV2,2012-03-06,36.5,27.7,12.1,3.7,5.5,5.0,5.6,0.9,1.3,1.3,pollofpolls.no
Ipsos,Dagbladet,2012-03-03,33.8,27.5,17.6,4.1,5.2,5.3,4.2,0.0,0.7,1.6,pollofpolls.no
Sentio,SMP,2012-03-01,32.6,27.1,17.4,5.0,4.6,5.7,4.5,0.0,1.1,2.0,pollofpolls.no
InFact,VG,2012-02-28,30.9,30.4,12.4,4.7,5.3,5.2,6.2,0.0,2.0,2.8,pollofpolls.no
Norstat,VL,2012-02-24,35.7,25.6,17.2,3.7,4.9,5.0,4.7,0.0,1.3,1.9,pollofpolls.no
Sentio,DN,2012-02-23,33.0,25.3,18.1,4.1,5.7,6.1,4.5,0.0,1.2,2.6,pollofpolls.no
Respons Analyse,Aftenp,2012-02-17,34.5,30.0,11.5,5.8,4.6,4.9,6.1,0.0,1.2,1.4,pollofpolls.no
Opinion,ANB,2012-02-16,35.8,29.1,10.7,6.2,4.3,6.2,5.3,0.0,0.8,1.7,pollofpolls.no
Norfakta,Nat. / KK,2012-02-11,35.2,28.7,15.5,4.7,4.4,4.2,4.6,0.0,1.6,1.1,pollofpolls.no
Norstat,NRK,2012-02-09,35.1,27.3,14.2,4.2,4.7,5.4,6.5,0.0,1.0,1.5,pollofpolls.no
Verian,TV2,2012-02-07,35.8,26.7,14.5,4.8,6.5,4.5,5.0,0.0,1.5,0.7,pollofpolls.no
Sentio,SMP,2012-02-03,33.2,28.1,15.6,5.4,5.2,4.7,5.2,0.0,1.3,1.0,pollofpolls.no
Ipsos,Dagbladet,2012-01-29,33.4,29.1,13.8,5.0,5.1,4.9,5.5,0.0,2.3,0.9,pollofpolls.no
InFact,VG,2012-01-27,34.5,31.8,10.7,3.2,5.4,5.7,4.6,0.0,1.7,2.4,pollofpolls.no
Norstat,VL,2012-01-27,34.4,28.8,14.2,4.2,4.9,5.6,4.1,0.0,1.7,2.2,pollofpolls.no
Sentio,DN,2012-01-20,34.2,27.7,15.9,3.8,5.5,4.6,5.2,0.0,2.1,1.1,pollofpolls.no
Opinion,ANB,2012-01-19,38.3,27.8,14.3,4.5,3.9,5.1,4.2,0.0,1.2,0.7,pollofpolls.no
Respons Analyse,Aftenp,2012-01-14,36.1,31.5,9.8,4.0,4.7,4.3,6.0,0.0,2.6,1.0,pollofpolls.no
Norstat,NRK,2012-01-12,34.9,28.1,15.8,3.5,4.9,6.1,3.7,0.0,1.2,1.3,pollofpolls.no
Verian,TV2,2012-01-09,33.3,28.6,13.3,4.6,5.3,6.2,5.8,0.0,1.3,1.5,pollofpolls.no
Norfakta,Nat. / KK,2012-01-09,32.8,29.9,15.3,3.9,5.0,5.4,5.4,0.0,1.5,0.8,pollofpolls.no
